id,SalePrice
1461,119422.00808814401
1462,149171.25608255458
1463,177792.44389151962
1464,190031.6607682785
1465,194860.20150950382
1466,167256.54864383335
1467,173193.28395285545
1468,156592.35938412516
1469,191775.63005021136
1470,117861.40646733307
1471,185079.41578147054
1472,95383.67942456939
1473,93766.00394944203
1474,143116.58076566222
1475,111936.70748148952
1476,340078.89020604215
1477,238137.42075941607
1478,279801.41056568455
1479,285161.48097914434
1480,448161.4721113085
1481,316582.99791425513
1482,201505.23705641096
1483,169219.79889828624
1484,155495.2475994692
1485,185786.81693371327
1486,188080.604330745
1487,334934.3714314813
1488,227609.46685055332
1489,186285.177311928
1490,221917.04082648884
1491,190344.5569940781
1492,90558.42178268703
1493,183489.9365829941
1494,293590.18315287505
1495,284433.40547921055
1496,230165.2115443906
1497,178383.71674447024
1498,165225.37722555437
1499,160201.91866269452
1500,147465.7666502303
1501,171723.7024486533
1502,141750.20979245822
1503,275819.3045706425
1504,235852.11070245068
1505,220970.1159512587
1506,182695.68314452452
1507,237659.1911700352
1508,197008.46654168025
1509,159422.27328897774
1510,140903.2675523251
1511,145541.3599831278
1512,171870.44848343643
1513,146878.0392187332
1514,150879.7026881326
1515,188181.57858625532
1516,152523.87907135356
1517,164972.1134552016
1518,129740.88827820722
1519,204336.4308863785
1520,125078.90475126063
1521,127569.22021305503
1522,172510.96966245194
1523,108328.69489507172
1524,124063.97506117723
1525,117509.16352941467
1526,111664.2918664921
1527,106613.12466717204
1528,134568.3179557951
1529,146901.34093556105
1530,179246.46210722084
1531,100226.66654683895
1532,96722.02782788464
1533,140620.59125895036
1534,123968.42267485913
1535,142588.74923926397
1536,104553.745542757
1537,61642.62257727302
1538,145062.6120003183
1539,190541.0183627722
1540,89574.8558194895
1541,134966.01685589552
1542,136379.9588388918
1543,183887.50373972883
1544,84922.23953950501
1545,113004.01057844593
1546,131119.50284201629
1547,123430.59412632436
1548,135695.6401299875
1549,117334.4512971436
1550,132868.36916164862
1551,107026.89731401968
1552,129705.6124652228
1553,144100.97181316154
1554,112717.45736939565
1555,153330.21612226684
1556,81283.26049165844
1557,103040.62301907569
1558,94938.1920400527
1559,61118.916192311066
1560,130840.84443709135
1561,127332.87673515338
1562,128745.44436817609
1563,116654.94358261947
1564,150464.71090423112
1565,145017.34426872386
1566,232948.90398775358
1567,75606.18316887601
1568,222881.37479873735
